КодКатегории,ЧастотаПродаж,Цена,ДлинаЕд,ДлинаЕд.1,ШиринаЕд,ШиринаЕд.1,ВысотаЕд,ВысотаЕд.1,Остаток,ВсегоТовара,Количество,НаВитрине,Транзит,Транзит.1,НаСкладе
GF20878,0.0111939795,3499.0,0.1930000036954879,0,0.1049999967217445,0,0.0549999997019767,0,,0,,0,,0,0.0
GF18438,1.0783314e-06,24999.0,0.3700000047683716,0,0.1299999952316284,0,0.2800000011920929,0,,0,,0,,0,0.0
FE43822,0.012247009,910.0,0.209999993443489,0,0.1299999952316284,0,0.1000000014901161,0,,0,,0,,0,0.0
MA10208,0.046252005,50.0,0.1500000059604644,0,0.1500000059604644,0,0.0199999995529651,0,,0,,0,,0,0.0
GF20762,9.984914e-07,2150.0,0.3199999928474426,0,0.0900000035762786,0,0.0649999976158142,0,,0,,0,,0,0.0
GF18250,0.011188845,20999.0,,0,,0,,0,,0,,0,,0,0.0
GF18405,1.0636663e-06,1199.0,0.1700000017881393,0,0.1199999973177909,0,0.0700000002980232,0,,0,,0,,0,0.0
GF19422,1.0481638e-06,46299.0,0.7300000190734863,0,0.7200000286102295,0,1.2999999523162842,0,,0,,0,,0,0.0
EY72488,1.0238325e-06,1199.0,0.0799999982118606,0,0.1500000059604644,0,0.0299999993294477,0,,0,,0,,0,0.0
GF26802,9.944445e-07,2299.0,0.1199999973177909,0,0.0299999993294477,0,0.0700000002980232,0,,0,,0,,0,0.0
GF19443,0.011084356,1399.0,0.1299999952316284,0,0.0599999986588954,0,0.1899999976158142,0,,0,,0,,0,0.0
GF19443,0.03072882,1499.0,0.0,0,0.0,0,0.0,0,1.0,0,1.0,0,0.0,0,0.0
GF27381,1.13969e-06,3299.0,0.1500000059604644,0,0.0700000002980232,0,0.0399999991059303,0,,0,,0,,0,0.0
GF18433,0.015471099,2399.0,0.4300000071525574,0,0.3300000131130218,0,0.4399999976158142,0,0.0,0,,0,0.0,0,0.0
MA00329,0.003528936,830.0,0.2899999916553497,0,0.2899999916553497,0,0.0649999976158142,0,,0,,0,,0,0.0
GF20761,1.030433e-06,1950.0,0.3000000119209289,0,0.0599999986588954,0,0.1199999973177909,0,,0,,0,,0,0.0
GF24117,0.011440367,7199.0,0.2930000126361847,0,0.2549999952316284,0,0.4900000095367431,0,,0,,0,,0,0.0
GF24117,0.020157011,5499.0,0.2450000047683715,0,0.270000010728836,0,0.4799999892711639,0,,0,,0,,0,0.0
GF24117,7.6762296e-07,12799.0,0.5350000262260437,0,0.3199999928474426,0,0.5,0,,0,,0,,0,0.0
MA09487,0.019789817,71999.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
GF29319,0.003584855,104999.0,0.8399999737739563,0,0.9800000190734864,0,1.899999976158142,0,,0,,0,,0,0.0
GF19422,1.0481638e-06,30699.0,0.4900000095367431,0,0.4900000095367431,0,1.2400000095367432,0,,0,,0,,0,0.0
GF18443,1.1380466e-06,3799.0,0.2000000029802322,0,0.1800000071525573,0,0.0700000002980232,0,,0,,0,,0,0.0
GF18443,1.1380466e-06,,0.2000000029802322,0,0.1700000017881393,0,0.0599999986588954,0,,0,,0,,0,0.0
GF18430,1.2175229e-06,5999.0,0.25,0,0.1400000005960464,0,0.1099999994039535,0,,0,,0,,0,0.0
GF18430,1.2175229e-06,3599.0,0.1599999964237213,0,0.1500000059604644,0,0.1400000005960464,0,,0,,0,,0,0.0
MA00333,1.1266225e-06,130.0,0.3000000119209289,0,0.1299999952316284,0,0.0199999995529651,0,,0,,0,,0,0.0
GF21566,0.025931051,850.0,0.0,0,0.0,0,0.0,0,0.0,0,,0,0.0,0,0.0
GF18395,1.1594041e-06,1299.0,0.270000010728836,0,0.1800000071525573,0,0.050000000745058,0,,0,,0,,0,0.0
EY23865,1.1779733e-06,240.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
EY23865,1.1779733e-06,1299.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
EY23865,1.1779733e-06,350.0,0.1199999973177909,0,0.0599999986588954,0,0.0599999986588954,0,,0,,0,,0,0.0
EY23865,1.1779733e-06,330.0,0.1199999973177909,0,0.0599999986588954,0,0.0599999986588954,0,,0,,0,,0,0.0
FE15851,0.0061515416,270.0,0.1899999976158142,0,0.1899999976158142,0,0.1099999994039535,0,,0,,0,,0,0.0
GF27460,0.021945404,6799.0,0.0,0,0.0,0,0.0,0,2.0,0,1.0,0,0.0,0,1.0
GF18154,0.0035800296,3599.0,0.0900000035762786,0,0.1199999973177909,0,0.1449999958276748,0,,0,,0,,0,0.0
GF18259,0.012919962,999.0,0.1899999976158142,0,0.1099999994039535,0,0.0199999995529651,0,,0,,0,,0,0.0
GF19440,0.020243973,2099.0,0.0,0,0.0,0,0.0,0,0.0,0,,0,0.0,0,0.0
GF18208,0.011810407,93999.0,,0,,0,,0,,0,,0,,0,0.0
MA00333,0.01994009,,0.2549999952316284,0,0.125,0,0.0750000029802322,0,,0,,0,,0,0.0
GF18250,0.013504058,34999.0,0.0,0,0.0,0,0.0,0,,0,,0,,0,0.0
MA85180,0.0034501217,4999.0,0.2399999946355819,0,0.1899999976158142,0,0.0900000035762786,0,,0,,0,,0,0.0
GF20752,1.0943918e-06,399.0,0.1199999973177909,0,0.0799999982118606,0,0.0299999993294477,0,,0,,0,,0,0.0
GF23091,0.008452894,23999.0,0.6700000166893005,0,0.4449999928474426,0,0.8700000047683716,0,,0,,0,,0,0.0
GF18258,0.0033450352,1999.0,0.1199999973177909,0,0.0149999996647238,0,0.1850000023841858,0,,0,,0,,0,0.0
GF26932,1.1222807e-06,119999.0,,0,,0,,0,,0,,0,,0,0.0
GF18423,1.1722783e-06,740.0,0.050000000745058,0,0.0299999993294477,0,0.1299999952316284,0,,0,,0,,0,0.0
MA08252,1.0198676e-06,730.0,0.1400000005960464,0,0.1000000014901161,0,0.2049999982118606,0,,0,,0,,0,0.0
GF19346,0.005297408,5499.0,0.3000000119209289,0,0.1749999970197677,0,0.0900000035762786,0,,0,,0,,0,0.0
GF20756,0.0067856484,,0.4600000083446502,0,0.2300000041723251,0,0.1700000017881393,0,,0,,0,,0,0.0
